node_id,indegree,outdegree,indeg_centr,outdeg_centr,indeg_centr_norm,outdeg_centr_norm
61999CJ0144,18,2,0.011159330440173589,0.0012399256044637321,0.0067618332081141996,0.0007513148009015776
62003CJ0314,1,0,0.0006199628022318661,0.0,0.0003756574004507889,0.0
62003CJ0531,1,0,0.0006199628022318661,0.0,0.0003756574004507889,0.0
62004CJ0033,18,12,0.011159330440173589,0.007439553626782393,0.0067618332081141996,0.0045078888054094655
62007CJ0272,1,0,0.0006199628022318661,0.0,0.0003756574004507889,0.0
62007CJ0292,1,2,0.0006199628022318661,0.0012399256044637321,0.0003756574004507889,0.0007513148009015776
62009CJ0120,1,0,0.0006199628022318661,0.0,0.0003756574004507889,0.0
62009CJ0311,1,1,0.0006199628022318661,0.0006199628022318661,0.0003756574004507889,0.0003756574004507888
62009CJ0099,0,1,0.0,0.0006199628022318661,0.0,0.0003756574004507888
62004CJ0438,3,0,0.0018598884066955983,0.0,0.0011269722013523668,0.0
62008CJ0545,0,9,0.0,0.005579665220086794,0.0,0.003380916604057099
62001CJ0020,1,0,0.0006199628022318661,0.0,0.0003756574004507889,0.0
62001CJ0028,1,0,0.0006199628022318661,0.0,0.0003756574004507889,0.0
62001CJ0476,1,0,0.0006199628022318661,0.0,0.0003756574004507889,0.0
62002CJ0394,2,0,0.0012399256044637321,0.0,0.0007513148009015778,0.0
62005CJ0036,1,0,0.0006199628022318661,0.0,0.0003756574004507889,0.0
62006CJ0262,1,0,0.0006199628022318661,0.0,0.0003756574004507889,0.0
62008CJ0005,1,0,0.0006199628022318661,0.0,0.0003756574004507889,0.0
61988CJ0322,3,0,0.0018598884066955983,0.0,0.0011269722013523668,0.0
62001CJ0207,1,0,0.0006199628022318661,0.0,0.0003756574004507889,0.0
62005CJ0028,1,1,0.0006199628022318661,0.0006199628022318661,0.0003756574004507889,0.0003756574004507888
62005CJ0119,4,0,0.0024798512089274642,0.0,0.0015026296018031556,0.0
62007CJ0414,1,0,0.0006199628022318661,0.0,0.0003756574004507889,0.0
62008CJ0012,1,0,0.0006199628022318661,0.0,0.0003756574004507889,0.0
62007CJ0261,14,10,0.008679479231246125,0.00619962802231866,0.005259203606311044,0.003756574004507888
62007CJ0299,3,0,0.0018598884066955983,0.0,0.0011269722013523668,0.0
61993CJ0359,1,0,0.0006199628022318661,0.0,0.0003756574004507889,0.0
62005CJ0380,3,1,0.0018598884066955983,0.0006199628022318661,0.0011269722013523668,0.0003756574004507888
62006CJ0055,1,1,0.0006199628022318661,0.0006199628022318661,0.0003756574004507889,0.0003756574004507888
62007CJ0458,0,8,0.0,0.0049597024178549285,0.0,0.0030052592036063103
61969CJ0077,1,0,0.0006199628022318661,0.0,0.0003756574004507889,0.0
61997CJ0387,1,0,0.0006199628022318661,0.0,0.0003756574004507889,0.0
61999CJ0392,1,0,0.0006199628022318661,0.0,0.0003756574004507889,0.0
62000CJ0129,2,0,0.0012399256044637321,0.0,0.0007513148009015778,0.0
62000CJ0418,1,0,0.0006199628022318661,0.0,0.0003756574004507889,0.0
62003CJ0433,3,1,0.0018598884066955983,0.0006199628022318661,0.0011269722013523668,0.0003756574004507888
62006CJ0319,1,0,0.0006199628022318661,0.0,0.0003756574004507889,0.0
62007CJ0396,1,0,0.0006199628022318661,0.0,0.0003756574004507889,0.0
62007CJ0539,0,5,0.0,0.00309981401115933,0.0,0.001878287002253944
62000CJ0103,2,0,0.0012399256044637321,0.0,0.0007513148009015778,0.0
62001CJ0323,1,0,0.0006199628022318661,0.0,0.0003756574004507889,0.0
62001CJ0352,1,0,0.0006199628022318661,0.0,0.0003756574004507889,0.0
62002CJ0022,1,0,0.0006199628022318661,0.0,0.0003756574004507889,0.0
62007CJ0040,1,0,0.0006199628022318661,0.0,0.0003756574004507889,0.0
62006CJ0141,0,1,0.0,0.0006199628022318661,0.0,0.0003756574004507888
62006CJ0127,0,2,0.0,0.0012399256044637321,0.0,0.0007513148009015776
62000CJ0110,1,0,0.0006199628022318661,0.0,0.0003756574004507889,0.0
62003CJ0266,2,0,0.0012399256044637321,0.0,0.0007513148009015778,0.0
61992CJ0317,1,1,0.0006199628022318661,0.0006199628022318661,0.0003756574004507889,0.0003756574004507888
61994CJ0061,1,0,0.0006199628022318661,0.0,0.0003756574004507889,0.0
61996CJ0035,1,0,0.0006199628022318661,0.0,0.0003756574004507889,0.0
61997CJ0365,2,0,0.0012399256044637321,0.0,0.0007513148009015778,0.0
61999CJ0333,2,0,0.0012399256044637321,0.0,0.0007513148009015778,0.0
61999CJ0474,1,0,0.0006199628022318661,0.0,0.0003756574004507889,0.0
62000CJ0363,1,0,0.0006199628022318661,0.0,0.0003756574004507889,0.0
62001CJ0145,1,0,0.0006199628022318661,0.0,0.0003756574004507889,0.0
62003CJ0287,1,1,0.0006199628022318661,0.0006199628022318661,0.0003756574004507889,0.0003756574004507888
62003CJ0456,3,1,0.0018598884066955983,0.0006199628022318661,0.0011269722013523668,0.0003756574004507888
61996CJ0410,0,1,0.0,0.0006199628022318661,0.0,0.0003756574004507888
61994CJ0178,31,5,0.019218846869187848,0.00309981401115933,0.011645379413974456,0.001878287002253944
61981CJ0052,1,0,0.0006199628022318661,0.0,0.0003756574004507889,0.0
61983CJ0015,2,0,0.0012399256044637321,0.0,0.0007513148009015778,0.0
61985CJ0137,3,0,0.0018598884066955983,0.0,0.0011269722013523668,0.0
61987CJ0165,2,0,0.0012399256044637321,0.0,0.0007513148009015778,0.0
61987CJ0265,2,0,0.0012399256044637321,0.0,0.0007513148009015778,0.0
61992CJ0037,3,0,0.0018598884066955983,0.0,0.0011269722013523668,0.0
61992CJ0339,3,0,0.0018598884066955983,0.0,0.0011269722013523668,0.0
61992CJ0350,3,0,0.0018598884066955983,0.0,0.0011269722013523668,0.0
61992CJ0359,3,2,0.0018598884066955983,0.0012399256044637321,0.0011269722013523668,0.0007513148009015776
61993CJ0051,2,0,0.0012399256044637321,0.0,0.0007513148009015778,0.0
61994CJ0084,3,0,0.0018598884066955983,0.0,0.0011269722013523668,0.0
61994CJ0233,3,0,0.0018598884066955983,0.0,0.0011269722013523668,0.0
61997CJ0110,2,0,0.0012399256044637321,0.0,0.0007513148009015778,0.0
61997CJ0293,2,0,0.0012399256044637321,0.0,0.0007513148009015778,0.0
61998CJ0017,2,0,0.0012399256044637321,0.0,0.0007513148009015778,0.0
61998CJ0376,3,0,0.0018598884066955983,0.0,0.0011269722013523668,0.0
61998CJ0377,3,0,0.0018598884066955983,0.0,0.0011269722013523668,0.0
